KEYMAP_FILE_NAME	ACTION_ID
$default.xml	EditBreakpoint
$default.xml	EditorAddCaretPerSelectedLine
$default.xml	EditorAddOrRemoveCaret
$default.xml	EditorAddRectangularSelectionOnMouseDrag
$default.xml	EditorBackSpace
$default.xml	EditorChooseLookupItem
$default.xml	EditorChooseLookupItemDot
$default.xml	EditorChooseLookupItemReplace
$default.xml	EditorCodeBlockEnd
$default.xml	EditorCodeBlockEndWithSelection
$default.xml	EditorCodeBlockStart
$default.xml	EditorCodeBlockStartWithSelection
$default.xml	EditorCompleteStatement
$default.xml	EditorContextInfo
$default.xml	EditorCreateRectangularSelection
$default.xml	EditorCreateRectangularSelectionOnMouseDrag
$default.xml	EditorDecreaseFontSizeGlobal
$default.xml	EditorDeleteLine
$default.xml	EditorDeleteToWordEnd
$default.xml	EditorDeleteToWordStart
$default.xml	EditorDown
$default.xml	EditorDownWithSelection
$default.xml	EditorDuplicate
$default.xml	EditorEnter
$default.xml	EditorEscape
$default.xml	EditorFocusGutter
$default.xml	EditorIncreaseFontSizeGlobal
$default.xml	EditorIndentSelection
$default.xml	EditorJoinLines
$default.xml	EditorLeft
$default.xml	EditorLeftWithSelection
$default.xml	EditorLineEnd
$default.xml	EditorLineEndWithSelection
$default.xml	EditorLineStart
$default.xml	EditorLineStartWithSelection
$default.xml	EditorLookupDown
$default.xml	EditorLookupUp
$default.xml	EditorMatchBrace
$default.xml	EditorMoveToPageBottom
$default.xml	EditorMoveToPageBottomWithSelection
$default.xml	EditorMoveToPageTop
$default.xml	EditorMoveToPageTopWithSelection
$default.xml	EditorNextWord
$default.xml	EditorNextWordWithSelection
$default.xml	EditorPageDown
$default.xml	EditorPageDownWithSelection
$default.xml	EditorPageUp
$default.xml	EditorPageUpWithSelection
$default.xml	EditorPasteFromX11
$default.xml	EditorPasteSimple
$default.xml	EditorPreviousWord
$default.xml	EditorPreviousWordWithSelection
$default.xml	EditorRight
$default.xml	EditorRightWithSelection
$default.xml	EditorScrollDown
$default.xml	EditorScrollToCenter
$default.xml	EditorScrollUp
$default.xml	EditorSelectWord
$default.xml	EditorShowGutterIconTooltip
$default.xml	EditorSplitLine
$default.xml	EditorStartNewLine
$default.xml	EditorStartNewLineBefore
$default.xml	EditorTab
$default.xml	EditorTextEnd
$default.xml	EditorTextEndWithSelection
$default.xml	EditorTextStart
$default.xml	EditorTextStartWithSelection
$default.xml	EditorToggleCase
$default.xml	EditorToggleColumnMode
$default.xml	EditorToggleInsertState
$default.xml	EditorUnindentSelection
$default.xml	EditorUnSelectWord
$default.xml	EditorUp
$default.xml	EditorUpWithSelection
$default.xml	EditSource
$default.xml	EditSourceInNewWindow
$default.xml	EvaluateExpression
$default.xml	ExpandAll
$default.xml	ExpandAllRegions
$default.xml	ExpandAllToLevel1
$default.xml	ExpandAllToLevel2
$default.xml	ExpandAllToLevel3
$default.xml	ExpandAllToLevel4
$default.xml	ExpandAllToLevel5
$default.xml	ExpandExpandableComponent
$default.xml	ExpandLiveTemplateByTab
$default.xml	ExpandRegion
$default.xml	ExpandRegionRecursively
$default.xml	ExpandToLevel1
$default.xml	ExpandToLevel2
$default.xml	ExpandToLevel3
$default.xml	ExpandToLevel4
$default.xml	ExpandToLevel5
$default.xml	ExpandTreeNode
$default.xml	ExportToTextFile
$default.xml	ExpressionTypeInfo
$default.xml	ExternalJavaDoc
$default.xml	ExtractMethod
$default.xml	FileChooser.GotoDesktop
$default.xml	FileChooser.GotoHome
$default.xml	FileChooser.GotoModule
$default.xml	FileChooser.GotoProject
$default.xml	FileChooser.NewFolder
$default.xml	FileChooser.TogglePathBar
$default.xml	FileChooserList.LevelUp
$default.xml	FileChooserList.Root
$default.xml	FileStructurePopup
